250 ; Used data from ClientRegistry.blob --- 03/16/2007
   0,                                ,Half-Life Engine.gcf
   1,                                ,Half-Life.gcf
   3,                                ,Platform.gcf
   5,                                ,Dedicated Server.gcf
   7,                                ,winui.gcf
  11,                                ,Counter-Strike.gcf
  21,                                ,Team Fortress Classic.gcf
  31,                                ,Day of Defeat.gcf
  41,                                ,Deathmatch Classic.gcf
  51,                                ,Opposing Force.gcf
  61,                                ,Ricochet.gcf
  81,                                ,Condition Zero.gcf
  92,02E0CDAC8DD7DC4357A560D60C536DD3,Codename Gordon.gcf
  95,                                ,Condition Zero Models.gcf
  96,                                ,Half-Life High Definition.gcf
 101,                                ,Condition Zero Deleted Scenes Base Content.gcf
 102,104C1AD67C9B392430D81299FE93830D,Condition Zero Deleted Scenes Models.gcf
 103,08242806190C9532B7D184B5A79777A0,Condition Zero Deleted Scenes Sounds.gcf
 130,                                ,Half-Life Blue Shift.gcf
 200,C596D1BA1FEAD9A40DD0058118F58975,Source Engine.gcf
 202,                                ,SourceInit.gcf
 203,                                ,Source Shared Securom.gcf
 205,                                ,Source Dedicated Server.gcf
 206,33648B73E732E0734E34FE3CDA09AB74,Source Materials.gcf
 207,D147FC333F1B2B18A8E0B9354B94AFF6,Source Models.gcf
 208,9DC57C809A92196E2674ADA87AEA0FCE,Source Sounds.gcf
 209,                                ,Source LV.gcf
 211,                                ,SourceSDK.gcf
 212,                                ,Base Source Engine 2.gcf
 213,929CE07840B7EEB585AD8977E1DDA6DF,Episode 1 Shared.gcf
 215,                                ,Source SDK Base.gcf
 221,187D516D65C617EB6FE90FB20211DEC6,Half-Life 2 Content.gcf
 223,AB0775D3365AEB93CF71502040DE8B45,Half-Life 2_French.gcf
 224,5F6CF8A4452D5D093D11D6BB53CA8EA7,Half-Life 2_Italian.gcf
 225,507FC4BC36F19295454DB9C88C69B60C,Half-Life 2_German.gcf
 226,C7024080CF2D1F2449E0157FC08F849B,Half-Life 2_Spanish.gcf
 227,56BF21CF42EE89FFDE3CAAB9C5E88112,Half-Life 2_sChinese.gcf
 228,D791F899C1813A7D4B96AB7590E9AF75,Half-Life 2_Korean.gcf
 229,DAA3DAFFBBD5AB91B3BFFB04E12DB109,Half-Life 2_Koreana.gcf
 230,4BDA3FDCE8596326D56AD810598D6249,Half-Life 2_tChinese.gcf
 231,BE5BE8B8911F8CFF650765102BB96D59,Half-Life 2_Japanese.gcf
